show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,
s3291-netflix,Movie,A Single Man,Tom Ford,"Colin Firth, Julianne Moore, Nicholas Hoult, Ginnifer Goodwin, Matthew Goode, Paul Butler, Ryan Simpkins, Teddy Sears, Paulette Lamori, Jon Kortajarena",United States,11-Nov-19,2009,R,100 min,"Dramas, Independent Movies, LGBTQ Movies",This stream-of-consciousness drama centers on a day in the life of a gay college professor who's reeling from his longtime lover's recent death.,
s7529-amazon,Movie,A Social Cure,Meissa Hampton,,,,2020,13+,99 min,"Documentary, LGBTQ, Special Interest",A Social Cure travels to South Africa to investigate the epicenter of the HIV pandemic to expand the potential of our social networking technologies and explore how we can contribute to a future free from HIV.,
s3391-amazon,Movie,A Song is Born,Howard Hawks,"Danny Kaye, Virginia Mayo, Benny Goodman",,,1948,7+,113 min,"Arts, Entertainment, and Culture, Comedy","With her gangster boyfriend under investigation by the police, a nightclub singer hides out in a musical research institution staffed by bachelor professors - one of whom begins to fall for her.",
s4948-netflix,Movie,A Sort of Family,Diego Lerman,"Bárbara Lennie, Daniel Aráoz, Claudio Tolcachir, Paula Cohen, Yanina Ávila","Argentina, Brazil, France, Poland, Germany, Denmark",1-Apr-18,2017,TV-14,96 min,"Dramas, International Movies, Thrillers",An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.,
s6059-netflix,Movie,A Sort of Homecoming,Maria Burton,"Laura Marano, Parker Mack, Katherine McNamara, Marcus Lyle Brown, Shayne Topp, Michelle Clunie, Kathleen Wilhoite",United States,1-Aug-17,2015,TV-PG,89 min,"Dramas, Independent Movies",Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be – and what might have been – come flooding back.,
s9470-amazon,Movie,A Spark in Nothing,Griffin Loch,"Benjamin Snow, Brianna Ripkowski, Abby Stevens, Eric Mickelson, Sam Grossinger, Blake Borders, Corrinne Mica, Ernest Keith Walker, Arielle Gottesman",,,2021,13+,147 min,Romance,"With one single choice, everything changes. One life splits into two realities. One chasing a chance at love, while the other finds solace in music.",
s94-disney,Movie,A Spark Story,"Jason Sterman, Leanne Dare","Apthon Corbin, Louis Gonzales",,24-Sep-21,2021,TV-PG,88 min,Documentary,Two Pixar filmmakers strive to bring their uniquely personal SparkShorts visions to the screen.,
s6604-amazon,Movie,A State of Mind,Mike  Berry,"Elise Neal, Imani Khiry, Jason Floyd, Cameron Woods, Chanel Woods",,,2021,18+,89 min,"Drama, Special Interest","Three generations of Thomas men have all taken their own lives while battling depression. Darius Thomas must decide if he will face the beast head on, or crash right into his family's history.",
s3390-amazon,TV Show,A Stitch in Time,,Amber Butchart,,,2016,ALL,1 Season,"Documentary, Special Interest","The series is presented by fashion historian Amber Butchart and features a range of period garments lovingly reconstructed using only period techniques. Taking fashion in traditional works of art as her inspiration, she works with historical costumier, Ninya Mikhaila, fellow costumier Harriet Waterhouse and student Hannah Marples, to recreate extraordinary historical garments all made by hand.",
s4889-amazon,Movie,A Stone In The Water,Daniel Cohen,"Bonnie Bedelia, Melissa Fumero, David Fumero, Kimberly Leemans, Mary Kilpatrick",,,2021,,96 min,"Horror, Suspense","MARTHA, an eccentric farmwoman, heartbroken by the death of her only son, mistakenly believes that ALEX, a young city girl, is pregnant with her son's child. What Martha doesn't know is that Alex was involved in a robbery that ended in murder. Martha discovers that Alex is in trouble and people are after her. Martha drugs Alex, then handcuffs her to a bed, so as to protect the unborn child.",
s5943-netflix,Movie,A Stoning in Fulham County,Larry Elikann,"Ken Olin, Jill Eikenberry, Maureen Mueller, Gregg Henry, Nicholas Pryor, Noble Willingham, Peter Michael Goetz, Ron Perlman, Theodore Bikel, Olivia Burnette, Bill Allen, Brad Pitt",United States,1-Oct-11,1988,TV-14,95 min,Dramas,"After reckless teens kill an Amish child, a prosecutor attempts to bring the youths to justice despite the condemnation he faces from the community.",
s9514-amazon,Movie,A Stormy Night,David Moragas,"Jacob Perkins, David Moragas, Jordan Geiger, Marc Di Francesco",,,2020,NR,77 min,"Drama, LGBTQ","When a big storm threatens the city of New York, two strangers with very little in common -a Spanish documentary filmmaker and an app programmer- end up sharing shelter, challenging each other's definitions of happiness, love and life.",
s5138-netflix,Movie,A StoryBots Christmas,"Evan Spiridellis, Jeff Gill","Edward Asner, Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis, Jim Meskimen, Nate Theis",United States,1-Dec-17,2017,TV-Y,26 min,"Children & Family Movies, Comedies","Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus – only to find he's missing.",
s72-netflix,Movie,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",,14-Sep-21,2021,TV-Y,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,
s2990-netflix,Movie,A Sun,Chung Mong-hong,"Wu Chien-ho, Chen Yi-wen, Samantha Ko, Liu Kuan-ting, Greg Hsu, Wu Tai-ling, Wen Chen-ling, Yin Shin",Taiwan,24-Jan-20,2019,TV-MA,156 min,"Dramas, Independent Movies, International Movies",A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.,
s6786-amazon,Movie,A Sunburnt Christmas,Christiaan Van Vuuren,"Daniel Henshall, Sullivan Stapleton",,,2021,13+,91 min,Comedy,"On an outback farm ravaged by drought, the lives of a struggling family are upended when a runaway criminal dressed as Santa Claus crashes onto their property and a wily teenager seizes the opportunity to save the farm and put her fractured family back together.",
s4888-amazon,Movie,A Sweetest Kiss,Nguyen Nguyen,"Stefanie Estes, Sarah Navratil, Olivia Howel",,,2019,16+,104 min,"Drama, LGBTQ","In 1949, Alice Mitchell works as a prostitute on the street. After her situation worsens, she unsuccessfully attempts to reconcile with her estranged family over her homosexuality. She grows infatuated the daughter of a Christian household, Annabel. But she ultimately decides to give up the relationship in order to make peace with her parents.",
s4163-netflix,TV Show,A Taiwanese Tale of Two Cities,,"Tammy Chen, James Wen, Peggy Tseng, Denny Huang",Taiwan,27-Jan-19,2018,TV-MA,1 Season,"International TV Shows, TV Dramas","A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",
